url_from,url_to,name,type
https://www.claytonhotelgalway.ie/weddings/civil-wedding-ceremonies/,https://www.claytonhotelgalway.ie/rooms/,ROOMS,Internal Link
https://www.claytonhotelgalway.ie/weddings/civil-wedding-ceremonies/,https://www.claytonhotelgalway.ie/dining/,DINING,Internal Link
https://www.claytonhotelgalway.ie/weddings/civil-wedding-ceremonies/,https://www.claytonhotelgalway.ie/family-breaks-in-galway/,FAMILY,Internal Link
https://www.claytonhotelgalway.ie/weddings/civil-wedding-ceremonies/,https://www.claytonhotelgalway.ie/leisure-centre/,LEISURE,Internal Link
https://www.claytonhotelgalway.ie/weddings/civil-wedding-ceremonies/,https://www.claytonhotelgalway.ie/weddings/,WEDDINGS,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/meeting-rooms/,https://www.claytonhotelgalway.ie/meetings-events/meeting-rooms/,Skip to content,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/,Events in Galway | Clayton Hotel Galway | Special Occassions,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/book-save/,Book & Save,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://bookings.claytonhotelgalway.ie,Manage My Booking,External Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/contact-us/,Contact us,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://bookings.claytonhotelgalway.ie,OFFERS,External Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/rooms/,ROOMS,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/dining/,DINING,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/family-breaks-in-galway/,FAMILY,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/leisure-centre/,LEISURE,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/weddings/,WEDDINGS,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/meetings-events/,MEETINGS & EVENTS,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/find-us/,GETTING HERE,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/clayton-concierge/,CONCIERGE,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/restaurants-bars/tribes-restaurant/,TRIBES RESTAURANT,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/events/,https://www.claytonhotelgalway.ie/restaurants-bars/enclosure-bar-bistro/,ENCLOSURE BAR & BISTRO,Internal Link
https://www.claytonhotelgalway.ie/sitemap/,https://www.claytonhotelgalway.ie/meetings-events/events/,EVENTS,Internal Link
https://www.claytonhotelgalway.ie/sitemap/,https://www.claytonhotelgalway.ie/meetings-events/corporate-rates/,CORPORATE RATES,Internal Link
https://www.claytonhotelgalway.ie/sitemap/,https://www.claytonhotelgalway.ie/bank-holiday-breaks/,Bank Holiday Breaks,Internal Link
https://www.claytonhotelgalway.ie/sitemap/,https://www.claytonhotelgalway.ie/bbq/,BBQ,Internal Link
https://www.claytonhotelgalway.ie/sitemap/,https://www.claytonhotelgalway.ie/christenings/,Christenings,Internal Link
https://www.claytonhotelgalway.ie/sitemap/,https://www.claytonhotelgalway.ie/christmas/,Christmas,Internal Link
https://www.claytonhotelgalway.ie/sitemap/,https://www.claytonhotelgalway.ie/christmas/christmas-dining-2018/,Christmas Dining 2018,Internal Link
https://www.claytonhotelgalway.ie/meetings-events/corporate-rates/,https://www.claytonhotelgalway.ie/meetings-events/corporate-rates/,Skip to content,Internal Link
